NG,,,,,,,Defense,,,,,,,,,Damage Negation,,,,,,,,,Resistances,,,,,,,,Incoming Status Damage Multipliers,,,,,,Poise,,,,,"Enemy ""Part"" Damage Multipliers",,,,,,,,,
Location,Name,ID,,Health,dlcClear,,Phys,Strike,Slash,Pierce,Magic,Fire,Ltng,Holy,,Phys,Strike,Slash,Pierce,Magic,Fire,Ltng,Holy,,Poison,Scarlet Rot,Bleed,Frost,Sleep,Madness,Deathblight,,Bleed,Frost,Sleep,Madness,HP Burn Effect,,Base,Incoming Mult,Effective,Regen Delay,,Part 1,Part 2,Part 3,Part 4,Part 5,Part 6,Part 7,Part 8,Weak Part,Parts Damage Type
Academy Crystal Cave,Crystalian (Staff) [Boss] [Cracked],33502920b,,"1,595",-,,107,107,107,107,107,107,107,107,,10,10,35,35,40,40,40,40,,530,530,Immune,530,Immune,Immune,Immune,,1,0.7,1,1,1,,70,1,70,5.385,,1,1,1,1,1,1,1,1,1.5,0
Academy Crystal Cave,Rat,40800020,,367,-,,107,107,107,107,107,107,107,107,,-10,-10,-40,-10,-20,-40,-20,-20,,324,324,176,235,176,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Academy Crystal Cave,Raya Lucaria Scholar,37020020,,414,-,,107,107,107,107,107,107,107,107,,-10,0,-10,-10,40,20,20,0,,176,176,176,176,235,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Academy Crystal Cave,Raya Lucaria Scholar,37023020,,605,-,,107,107,107,107,107,107,107,107,,-10,0,-10,-10,40,20,20,0,,176,176,176,176,235,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Academy of Raya Lucaria,???,502010024,,"1,939",-,,100,100,100,100,100,100,100,100,,0,0,0,0,0,0,0,0,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,-1,1,∞,0,,1,1,1,1,1,1,1,1,1.5,0
Academy of Raya Lucaria,Abductor Virgin (Scythe),44700024,,"3,213",-,,107,107,107,107,107,107,107,107,,10,0,10,10,0,20,-20,20,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,65,0,∞,5,,1,1,1,1,1,1,1,1,2,1
Academy of Raya Lucaria,Abductor Virgin (Wheel),44701024,,"3,213",-,,107,107,107,107,107,107,107,107,,10,0,10,10,0,20,-20,20,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,65,0,∞,5,,1,1,1,1,1,1,1,1,2,1
Academy of Raya Lucaria,Ash Teardrop Scarab,41912024,,348,-,,107,107,107,107,107,107,107,107,,10,10,35,35,40,40,40,40,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Academy of Raya Lucaria,Avionette,38601024,,392,-,,107,107,107,107,107,107,107,107,,0,-10,10,10,0,-20,0,0,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1,0
Academy of Raya Lucaria,Bloodhound Knight,42909024,,992,-,,107,107,107,107,107,107,107,107,,10,10,10,0,0,0,-20,0,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,65,1,65,5,,1,1,1,1,1,1,1,1,1.5,0
Academy of Raya Lucaria,Crab (Clean),22750024,,63,-,,107,107,107,107,107,107,107,107,,10,-40,10,10,0,0,0,-40,,Immune,176,235,132,132,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Academy of Raya Lucaria,Crab (Golden Tuffs),22751024,,589,-,,107,107,107,107,107,107,107,107,,10,-40,10,10,40,0,0,-40,,Immune,176,235,132,132,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Academy of Raya Lucaria,Demi-Human Shaman,41109024,,192,-,,107,107,107,107,107,107,107,107,,-10,-10,-40,-10,-20,-20,-20,-20,,176,176,176,176,176,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Academy of Raya Lucaria,Dragon,45008024,,"3,713",-,,107,107,107,107,107,107,107,107,,35,35,35,10,40,40,40,40,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,120,1,120,9.231,,1,1,1,1,1,1,1,1,1.5,1
Academy of Raya Lucaria,Giant Crab (Clean),22740024,,808,-,,107,107,107,107,107,107,107,107,,35,0,35,35,20,20,20,-40,,Immune,324,324,176,176,Immune,Immune,,1,1,1,1,1,,80,1,80,6.154,,1,1,1,1,1,1,1,1,1.5,0
Academy of Raya Lucaria,Grey Wolf,40708024,,176,-,,107,107,107,107,107,107,107,107,,-10,-10,-40,-10,-20,-40,-20,-20,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Academy of Raya Lucaria,Juvenile Scholar,20400024,,204,-,,109,109,109,109,109,109,109,109,,-10,0,-10,-10,40,0,0,0,,178,178,178,178,133,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Academy of Raya Lucaria,Juvenile Scholar,20403024,,204,-,,109,109,109,109,109,109,109,109,,-10,0,-10,-10,40,0,0,0,,178,178,178,178,133,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Academy of Raya Lucaria,Juvenile Scholar (Candlestick),20401024,,204,-,,109,109,109,109,109,109,109,109,,-10,0,-10,-10,40,0,0,0,,178,178,178,178,133,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Academy of Raya Lucaria,Juvenile Scholar (Candlestick),20404024,,204,-,,109,109,109,109,109,109,109,109,,-10,0,-10,-10,40,0,0,0,,178,178,178,178,133,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Academy of Raya Lucaria,Juvenile Scholar (Tall Cap),20402024,,204,-,,109,109,109,109,109,109,109,109,,-10,0,-10,-10,40,0,0,0,,178,178,178,178,133,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Academy of Raya Lucaria,Juvenile Scholar (Tall Cap),20402124,,204,-,,109,109,109,109,109,109,109,109,,-10,0,-10,-10,40,0,0,0,,178,178,178,178,133,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Academy of Raya Lucaria,Juvenile Scholar (Tall Cap),20402224,,204,-,,109,109,109,109,109,109,109,109,,-10,0,-10,-10,40,0,0,0,,178,178,178,178,133,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Academy of Raya Lucaria,Living Jar,44910124,,339,-,,107,107,107,107,107,107,107,107,,10,-40,35,35,0,20,20,20,,Immune,Immune,Immune,Immune,176,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,1
Academy of Raya Lucaria,Living Jar (Large),44908124,,"1,017",-,,107,107,107,107,107,107,107,107,,10,-40,35,35,0,20,20,20,,Immune,Immune,Immune,Immune,235,Immune,Immune,,1,1,1,1,1,,65,1,65,5,,1,1,1,1,1,1,1,1,1.5,1
Academy of Raya Lucaria,Mad Pumpkin Head (Hammer),43401024,,"1,318",-,,107,107,107,107,107,107,107,107,,0,10,-10,0,0,0,-20,0,,235,235,176,176,324,Immune,Immune,,1,1,1,1,1,,65,1,65,5,,1,1,1,1,1,1,1,1,0.2,1
Academy of Raya Lucaria,Marionette,38500024,,405,-,,107,107,107,107,107,107,107,107,,0,-10,10,10,0,-20,0,0,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1,0
Academy of Raya Lucaria,Marionette,38501024,,405,-,,107,107,107,107,107,107,107,107,,0,-10,10,10,0,-20,0,0,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1,0
Academy of Raya Lucaria,Marionette,38502024,,405,-,,107,107,107,107,107,107,107,107,,0,-10,10,10,0,-20,0,0,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1,0
Academy of Raya Lucaria,Miniature Ranni Dialogue (Unused),501060024,,"1,939",-,,100,100,100,100,100,100,100,100,,0,0,0,0,0,0,0,0,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,-1,1,∞,0,,1,1,1,1,1,1,1,1,1.5,0
Academy of Raya Lucaria,Noble's Page,37031024,,"1,318",-,,107,107,107,107,107,107,107,107,,0,10,0,0,0,0,0,0,,176,176,235,235,235,Immune,Immune,,1,1,1,1,1,,65,1,65,5,,1,1,1,1,1,1,1,1,1.5,0
Academy of Raya Lucaria,Onyx Lord,36000024,,"1,710",-,,107,107,107,107,107,107,107,107,,10,10,10,10,20,20,20,20,,324,324,324,Immune,235,Immune,Immune,,1,1,1,1,1,,65,1,65,5,,1,1,1,1,1,1,1,1,1.5,0
Academy of Raya Lucaria,Orb of Many Faces (Sellen),37301024,,"1,343",-,,107,107,107,107,107,107,107,107,,10,10,35,80,80,40,40,20,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,80,1,80,6.154,,1,1,1,1,1,1,1,1,1.5,0
Academy of Raya Lucaria,Putrid Corpse,36614024,,852,-,,107,107,107,107,107,107,107,107,,-40,-40,-40,-40,40,-40,-40,-40,,132,132,132,132,132,Immune,Immune,,1,1,1,1,1,,50,1,50,3.846,,1,1,1,1,1,1,1,1,1.5,0
Academy of Raya Lucaria,Raya Lucaria Scholar,37020024,,414,-,,107,107,107,107,107,107,107,107,,-10,0,-10,-10,40,20,20,0,,176,176,176,176,235,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Academy of Raya Lucaria,Raya Lucaria Scholar,37021024,,414,-,,107,107,107,107,107,107,107,107,,-10,0,-10,-10,40,20,20,0,,176,176,176,176,235,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Academy of Raya Lucaria,Raya Lucaria Scholar,37022024,,605,-,,107,107,107,107,107,107,107,107,,-10,0,-10,-10,40,20,20,0,,176,176,176,176,235,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Academy of Raya Lucaria,Raya Lucaria Scholar,37023024,,605,-,,107,107,107,107,107,107,107,107,,-10,0,-10,-10,40,20,20,0,,176,176,176,176,235,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Academy of Raya Lucaria,Raya Lucaria Scholar,37024024,,605,-,,107,107,107,107,107,107,107,107,,-10,0,-10,-10,40,20,20,0,,176,176,176,176,235,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Academy of Raya Lucaria,Red Wolf of Radagon [Boss],31811024,,"2,204",-,,107,107,107,107,107,107,107,107,,0,0,-10,0,40,20,20,20,,324,324,530,530,324,Immune,Immune,,0.7,0.7,0.7,1,1,,120,1,120,9.231,,1,1,1,1,1,1,1,1,1.5,0
Academy of Raya Lucaria,"Rennala, Queen of the Full Moon",20300124,,"3,493",-,,109,109,109,109,109,109,109,109,,-10,0,-10,-10,80,20,20,20,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,-1,1,∞,0,,1,1,1,1,1,1,1,1,0,1
Academy of Raya Lucaria,"Rennala, Queen of the Full Moon (Phase 1) [Boss]",20300024b,,"3,493",-,,109,109,109,109,109,109,109,109,,-10,0,-10,-10,80,20,20,20,,326,326,326,326,Immune,Immune,Immune,,0.7,0.7,1,1,1,,-1,1,∞,0,,0,1,1,1,1,1,1,1,0,1
Academy of Raya Lucaria,"Rennala, Queen of the Full Moon - Bubble (Phase 1) [Boss]",20300024,,"3,493",-,,109,109,109,109,109,109,109,109,,100,100,100,100,100,100,100,100,,326,326,326,326,Immune,Immune,Immune,,0.7,0.7,1,1,1,,-1,1,∞,0,,0,1,1,1,1,1,1,1,0,1
Academy of Raya Lucaria,"Rennala, Queen of the Full Moon (Phase 2) [Boss]",20310024,,"4,097",-,,109,109,109,109,109,109,109,109,,-10,0,-10,-10,80,40,40,40,,534,534,326,534,Immune,Immune,Immune,,0.7,0.7,1,1,1,,80,1,80,6.154,,1,1,1,1,1,1,1,1,1.5,0
Academy of Raya Lucaria,Scarlet Putrid Corpse,36624024,,"1,418",-,,107,107,107,107,107,107,107,107,,-40,-40,-40,-40,40,-40,-40,-40,,132,132,132,132,132,Immune,Immune,,1,1,1,1,1,,55,1,55,4.231,,1,1,1,1,1,1,1,1,1.5,0
Academy of Raya Lucaria,Starved Dog,41610024,,367,-,,107,107,107,107,107,107,107,107,,-10,-10,-40,-10,-20,-40,-20,-20,,176,176,176,235,176,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Academy of Raya Lucaria,Troll Knight,46008024,,"4,307",-,,107,107,107,107,107,107,107,107,,0,0,-10,0,0,0,0,0,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,65,1,65,5,,1,1,1,1,1,1,1,1,2,1
Academy of Raya Lucaria,Wandering Noble,43000024,,192,-,,107,107,107,107,107,107,107,107,,-10,-10,-10,-10,-20,-20,-20,0,,132,132,176,176,176,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Academy of Raya Lucaria,Wandering Noble,43001024,,192,-,,107,107,107,107,107,107,107,107,,-10,-10,-10,-10,-20,-20,-20,0,,132,132,176,176,176,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Academy of Raya Lucaria,Wandering Noble,43002024,,192,-,,107,107,107,107,107,107,107,107,,-10,-10,-10,-10,-20,-20,-20,0,,132,132,176,176,176,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Academy of Raya Lucaria,Wandering Noble,43005024,,192,-,,107,107,107,107,107,107,107,107,,-10,-10,-10,-10,-20,-20,-20,0,,132,132,176,176,176,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Academy of Raya Lucaria,Wandering Noble,43006024,,192,-,,107,107,107,107,107,107,107,107,,-10,-10,-10,-10,-20,-20,-20,0,,132,132,176,176,176,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Ainsel River,Ancestral Follower (Axe),33600062,,"1,303",-,,114,114,114,114,114,114,114,114,,-10,0,-10,-10,0,0,0,0,,552,Immune,552,"1,188",552,Immune,Immune,,1,1,1,1,1,,40,1,40,3.077,,1,1,1,1,1,1,1,1,1.5,0
Ainsel River,"Astel, Naturalborn of the Void",46202060,,"1,193",-,,106,106,106,106,106,106,106,106,,10,10,10,10,40,40,40,40,,526,526,526,Immune,Immune,Immune,Immune,,1,1,1,1,1,,20,1,20,1.538,,1.2,0.8,0.8,0.6,1,1,1,1,1.5,1
Ainsel River,"Astel, Naturalborn of the Void",46202062,,"2,520",-,,114,114,114,114,114,114,114,114,,10,10,10,10,40,40,40,40,,552,552,552,Immune,Immune,Immune,Immune,,1,1,1,1,1,,20,1,20,1.538,,1.2,0.8,0.8,0.6,1,1,1,1,1.5,1
Ainsel River,Basilisk,41500060,,660,-,,106,106,106,106,106,106,106,106,,-10,-10,-40,-10,-20,-20,-20,-20,,175,175,131,131,131,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Ainsel River,Basilisk,41500062,,"1,394",-,,114,114,114,114,114,114,114,114,,-10,-10,-40,-10,-20,-20,-20,-20,,184,Immune,138,138,138,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Ainsel River,Basilisk,41500862,,"1,394",-,,114,114,114,114,114,114,114,114,,-10,-10,-40,-10,-20,-20,-20,-20,,184,Immune,138,138,138,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Ainsel River,Blaidd the Half-Wolf (Baleful Shadow),20108562,,"5,445",-,,114,114,114,114,114,114,114,114,,10,10,10,0,40,0,20,20,,245,245,337,552,552,Immune,Immune,,1,1,1,1,1,,80,1,80,6.154,,1,1,1,1,1,1,1,1,1.5,0
Ainsel River,Cerulean Teardrop Scarab,41911062,,635,-,,114,114,114,114,114,114,114,114,,10,10,35,35,40,40,40,40,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Ainsel River,Clayman,37500060,,511,-,,106,106,106,106,106,106,106,106,,10,0,35,35,40,20,20,20,,Immune,Immune,526,526,175,Immune,Immune,,1,1,1,1,1,,65,1,65,5,,1,1,1,1,1,1,1,1,1.5,0
Ainsel River,Clayman,37500062,,"1,080",-,,114,114,114,114,114,114,114,114,,10,0,35,35,40,20,20,20,,Immune,Immune,552,552,184,Immune,Immune,,1,1,1,1,1,,65,1,65,5,,1,1,1,1,1,1,1,1,1.5,0
Ainsel River,Clayman,37501060,,511,-,,106,106,106,106,106,106,106,106,,10,0,35,35,40,20,20,20,,Immune,Immune,526,526,175,Immune,Immune,,1,1,1,1,1,,65,1,65,5,,1,1,1,1,1,1,1,1,1.5,0
Ainsel River,Clayman,37501062,,"1,080",-,,114,114,114,114,114,114,114,114,,10,0,35,35,40,20,20,20,,Immune,Immune,552,552,184,Immune,Immune,,1,1,1,1,1,,65,1,65,5,,1,1,1,1,1,1,1,1,1.5,0
Ainsel River,Clayman,37502060,,511,-,,106,106,106,106,106,106,106,106,,10,0,35,35,40,20,20,20,,Immune,Immune,526,526,175,Immune,Immune,,1,1,1,1,1,,65,1,65,5,,1,1,1,1,1,1,1,1,1.5,0
Ainsel River,Clayman,37502062,,"1,080",-,,114,114,114,114,114,114,114,114,,10,0,35,35,40,20,20,20,,Immune,Immune,552,552,184,Immune,Immune,,1,1,1,1,1,,65,1,65,5,,1,1,1,1,1,1,1,1,1.5,0
Ainsel River,Dragonkin Soldier,46500060,,"4,372",-,,106,106,106,106,106,106,106,106,,10,10,0,10,20,20,40,20,,Immune,526,526,"1,131",Immune,Immune,Immune,,1,1,1,1,1,,120,1,120,9.231,,1,1,1,1,1,1,1,1,1.5,1
Ainsel River,Dragonkin Soldier,46500160,,"4,372",-,,106,106,106,106,106,106,106,106,,10,10,0,10,20,20,40,20,,526,526,526,"1,131",Immune,Immune,Immune,,1,1,1,1,1,,120,1,120,9.231,,1,1,1,1,1,1,1,1,1.5,1
Ainsel River,Dragonkin Soldier [Boss],46500262,,"7,655",-,,117,117,117,117,117,117,117,117,,10,10,0,10,20,20,40,20,,561,Immune,561,"1,207",Immune,Immune,Immune,,0.7,0.7,1,1,1,,120,1,120,9.231,,1,1,1,1,1,1,1,1,1.5,1
Ainsel River,Dragonkin Soldier of Nokstella [Boss],46500960,,"4,372",-,,106,106,106,106,106,106,106,106,,10,10,0,10,20,20,40,20,,526,526,526,"1,131",Immune,Immune,Immune,,0.7,0.7,1,1,1,,120,1,120,9.231,,1,1,1,1,1,1,1,1,1.5,1
Ainsel River,Giant Ant,42800060,,382,-,,106,106,106,106,106,106,106,106,,10,10,35,10,0,-20,0,0,,526,526,321,175,131,Immune,Immune,,1,1,1,1,1,,40,1,40,3.077,,1,1,1,1,1,1,1,1,1.5,0
Ainsel River,Giant Ant,42800062,,808,-,,114,114,114,114,114,114,114,114,,10,10,35,10,0,-20,0,0,,552,552,337,184,138,Immune,Immune,,1,1,1,1,1,,40,1,40,3.077,,1,1,1,1,1,1,1,1,1.5,0
Ainsel River,Giant Ant,42800160,,382,-,,106,106,106,106,106,106,106,106,,10,10,35,10,0,-20,0,0,,526,526,321,175,131,Immune,Immune,,1,1,1,1,1,,40,1,40,3.077,,1,1,1,1,1,1,1,1,1.5,0
Ainsel River,Giant Ant,42800360,,382,-,,106,106,106,106,106,106,106,106,,10,10,35,10,0,-20,0,0,,526,526,321,175,131,Immune,Immune,,1,1,1,1,1,,40,1,40,3.077,,1,1,1,1,1,1,1,1,10,1
Ainsel River,Giant Ant,42800462,,808,-,,114,114,114,114,114,114,114,114,,10,10,35,10,0,-20,0,0,,552,552,337,184,138,Immune,Immune,,1,1,1,1,1,,40,1,40,3.077,,1,1,1,1,1,1,1,1,1.5,0
Ainsel River,Giant Ant,42800862,,808,-,,114,114,114,114,114,114,114,114,,10,10,35,10,0,-20,0,0,,552,552,337,184,138,Immune,Immune,,1,1,1,1,1,,40,1,40,3.077,,1,1,1,1,1,1,1,1,1.5,0
Ainsel River,Giant Ant,42801162,,"1,163",-,,114,114,114,114,114,114,114,114,,23.5,23.5,44.75,23.5,15,-2,15,15,,552,552,337,184,138,Immune,Immune,,1,1,1,1,1,,40,1,40,3.077,,1,1,1,1,1,1,1,1,1.5,0
Ainsel River,Giant Ant (Sac),42810062,,"1,348",-,,114,114,114,114,114,114,114,114,,10,10,10,10,0,0,-42,0,,184,184,184,184,184,Immune,Immune,,1,1,1,1,1,,65,1,65,5,,0.2,1,1,1,1,1,1,1,1.5,1
Ainsel River,Giant Miranda Sprout,44800162,,"7,998",-,,114,114,114,114,114,114,114,114,,0,35,-40,0,0,40,40,40,,"1,188",552,552,138,245,Immune,Immune,,1,1,1,1,1,,100,1,100,7.692,,1,1,1,1,1,1,1,1,1.5,1
Ainsel River,Hermit Merchant,32002860,,"2,503",-,,106,106,106,106,106,106,106,106,,-10,0,-10,-10,0,0,0,0,,233,233,233,321,Immune,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Ainsel River,Kindred of Rot,38100062,,"1,291",-,,114,114,114,114,114,114,114,114,,0,0,10,0,0,-20,0,0,,552,Immune,184,184,184,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,0
Ainsel River,Miniature Ranni Dialogue (After Defeating Baleful Shadow),501060462,,"7,998",-,,114,114,114,114,114,114,114,114,,0,0,0,0,0,0,0,0,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,-1,1,∞,0,,1,1,1,1,1,1,1,1,1.5,0
Ainsel River,Miniature Ranni Dialogue (Unused),501060062,,"7,998",-,,114,114,114,114,114,114,114,114,,0,0,0,0,0,0,0,0,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,-1,1,∞,0,,1,1,1,1,1,1,1,1,1.5,0
Ainsel River,Miniature Ranni Dialogue (Unused),501060162,,"7,998",-,,114,114,114,114,114,114,114,114,,0,0,0,0,0,0,0,0,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,-1,1,∞,0,,1,1,1,1,1,1,1,1,1.5,0
Ainsel River,Miniature Ranni Dialogue (Unused),501060262,,"7,998",-,,114,114,114,114,114,114,114,114,,0,0,0,0,0,0,0,0,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,-1,1,∞,0,,1,1,1,1,1,1,1,1,1.5,0
Ainsel River,Miniature Ranni Dialogue (Unused),501060362,,"7,998",-,,114,114,114,114,114,114,114,114,,0,0,0,0,0,0,0,0,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,1,,-1,1,∞,0,,1,1,1,1,1,1,1,1,1.5,0
Ainsel River,Miranda Sprout,44810162,,490,-,,114,114,114,114,114,114,114,114,,-10,10,-40,-10,-20,40,20,20,,"1,188",552,552,138,245,Immune,Immune,,1,1,1,1,1,,30,1,30,2.308,,1,1,1,1,1,1,1,1,1.5,1
